Gene Symbol	NCBI Gene ID	RNA-Seq Raw Counts	FPKM	CPM	TPM	Percentile Rank	Is Expressed	sample
A1BG	1	56	0.3997	0.7407	1.5314	0.37	no	BK00451BL02_SL11
A1BG-AS1	503538	62	0.385	0.82	1.475	0.36	no	BK00451BL02_SL11
A1CF	29974	479	0.6649	6.3354	2.5472	0.41	yes	BK00451BL02_SL11
A2M	2	16734	47.5669	221.3289	182.2419	0.96	yes	BK00451BL02_SL11
A2M-AS1	144571	19	0.1149	0.2513	0.4402	0.28	no	BK00451BL02_SL11
A2ML1	144568	5	0.0121	0.0661	0.0465	0.18	no	BK00451BL02_SL11
A3GALT2	127550	65	0.8404	0.8597	3.2197	0.43	yes	BK00451BL02_SL11
A4GALT	53947	558	2.4261	7.3803	9.2952	0.54	yes	BK00451BL02_SL11
A4GNT	51146	0	0	0	0	0	no	BK00451BL02_SL11
AAAS	8086	1403	10.1015	18.5565	38.7017	0.78	yes	BK00451BL02_SL11
AACS	65985	2273	9.0308	30.0634	34.5993	0.76	yes	BK00451BL02_SL11
AADAC	13	4152	32.3413	54.9156	123.9085	0.93	yes	BK00451BL02_SL11
AADACL2	344752	0	0	0	0	0	no	BK00451BL02_SL11
AADACL3	126767	0	0	0	0	0	no	BK00451BL02_SL11
AADACL4	343066	0	0	0	0	0	no	BK00451BL02_SL11
AADAT	51166	361	1.7022	4.7747	6.5216	0.5	yes	BK00451BL02_SL11
PRXL2C	195827	1597	12.7782	21.1224	48.9569	0.82	yes	BK00451BL02_SL11
AAGAB	79719	2408	9.0764	31.8489	34.774	0.76	yes	BK00451BL02_SL11
AAK1	22848	5698	3.4555	75.3635	13.2388	0.59	yes	BK00451BL02_SL11
AAMDC	28971	303	6.6023	4.0076	25.295	0.7	yes	BK00451BL02_SL11
AAMP	14	3239	23.853	42.84	91.3874	0.9	yes	BK00451BL02_SL11
AANAT	15	2	0.0126	0.0265	0.0484	0.18	no	BK00451BL02_SL11
AAR2	25980	1069	4.7462	14.1389	18.184	0.64	yes	BK00451BL02_SL11
AARD	441376	0	0	0	0	0	no	BK00451BL02_SL11
AARS	16	14597	55.7506	193.0643	213.5958	0.97	yes	BK00451BL02_SL11
AARS2	57505	1110	3.0503	14.6812	11.6866	0.57	yes	BK00451BL02_SL11
AARSD1	80755	3	0.0291	0.0397	0.1115	0.21	no	BK00451BL02_SL11
AASDH	132949	2822	8.7719	37.3246	33.6077	0.75	yes	BK00451BL02_SL11
AASDHPPT	60496	1190	5.5013	15.7393	21.0771	0.67	yes	BK00451BL02_SL11
AASS	10157	1215	2.5601	16.07	9.8086	0.55	yes	BK00451BL02_SL11
AATF	26574	1976	12.207	26.1352	46.7683	0.81	yes	BK00451BL02_SL11
AATK	9625	105	0.141	1.3888	0.5402	0.29	no	BK00451BL02_SL11
PVALEF	388428	0	0	0	0	0	no	BK00451BL02_SL11
ABAT	18	196	0.4316	2.5924	1.6537	0.37	no	BK00451BL02_SL11
ABCA1	19	7631	9.0293	100.9299	34.5938	0.76	yes	BK00451BL02_SL11
ABCA10	10349	316	0.6359	4.1795	2.4362	0.4	yes	BK00451BL02_SL11
ABCA11P	79963	656	2.2893	8.6765	8.7709	0.53	yes	BK00451BL02_SL11
ABCA12	26154	12	0.0169	0.1587	0.0649	0.19	no	BK00451BL02_SL11
ABCA13	154664	69	0.0516	0.9126	0.1978	0.24	no	BK00451BL02_SL11
ABCA2	20	11810	18.6845	156.2026	71.5855	0.87	yes	BK00451BL02_SL11
ABCA3	21	4303	8.5635	56.9128	32.809	0.75	yes	BK00451BL02_SL11
ABCA4	24	28	0.0506	0.3703	0.1937	0.24	no	BK00451BL02_SL11
ABCA5	23461	1797	2.5011	23.7677	9.5823	0.54	yes	BK00451BL02_SL11
ABCA6	23460	949	2.37	12.5518	9.0803	0.54	yes	BK00451BL02_SL11
ABCA7	10347	4523	8.7729	59.8226	33.6115	0.75	yes	BK00451BL02_SL11
ABCA8	10351	164	0.3347	2.1691	1.2823	0.35	no	BK00451BL02_SL11
ABCA9	10350	638	1.1934	8.4384	4.5722	0.46	yes	BK00451BL02_SL11
ABCB1	5243	554	1.5537	7.3274	5.9527	0.49	yes	BK00451BL02_SL11
ABCB10	23456	2301	7.8905	30.4337	30.2307	0.73	yes	BK00451BL02_SL11
ABCB11	8647	468	0.8756	6.1899	3.3548	0.43	yes	BK00451BL02_SL11
ABCB4	5244	149	0.4942	1.9707	1.8933	0.38	no	BK00451BL02_SL11
ABCB5	340273	4	0.0068	0.0529	0.0261	0.16	no	BK00451BL02_SL11
ABCB6	10058	788	3.3108	10.4223	12.6845	0.59	yes	BK00451BL02_SL11
ABCB7	22	2546	13.3205	33.6742	51.0344	0.83	yes	BK00451BL02_SL11
ABCB8	11194	1839	4.7758	24.3232	18.2974	0.65	yes	BK00451BL02_SL11
ABCB9	23457	1282	4.3377	16.9561	16.619	0.63	yes	BK00451BL02_SL11
ABCC1	4363	10497	21.055	138.8365	80.6673	0.89	yes	BK00451BL02_SL11
ABCC10	89845	2218	4.8731	29.3359	18.6701	0.65	yes	BK00451BL02_SL11
ABCC11	85320	57	0.1469	0.7539	0.5629	0.29	no	BK00451BL02_SL11
ABCC12	94160	0	0	0	0	0	no	BK00451BL02_SL11
ABCC13	150000	0	0	0	0	0	no	BK00451BL02_SL11
ABCC2	1244	219	0.5728	2.8966	2.1945	0.39	yes	BK00451BL02_SL11
ABCC3	8714	22861	57.223	302.3665	219.237	0.97	yes	BK00451BL02_SL11
ABCC4	10257	783	1.6119	10.3562	6.1755	0.49	yes	BK00451BL02_SL11
ABCC5	10057	3373	5.5891	44.6123	21.4134	0.67	yes	BK00451BL02_SL11
ABCC6	368	1021	2.1216	13.5041	8.1285	0.52	yes	BK00451BL02_SL11
ABCC6P1	653190	60	0.2909	0.7936	1.1145	0.34	no	BK00451BL02_SL11
ABCC6P2	730013	26	0.4871	0.3439	1.8662	0.38	no	BK00451BL02_SL11
ABCC8	6833	19	0.0505	0.2513	0.1933	0.24	no	BK00451BL02_SL11
ABCC9	10060	503	0.695	6.6528	2.6629	0.41	yes	BK00451BL02_SL11
ABCD1	215	2254	4.0682	29.8121	15.5865	0.62	yes	BK00451BL02_SL11
ABCD2	225	87	0.2154	1.1507	0.8254	0.32	no	BK00451BL02_SL11
ABCD3	5825	6731	22.5041	89.0262	86.2194	0.9	yes	BK00451BL02_SL11
ABCD4	5826	2452	7.6416	32.4309	29.277	0.73	yes	BK00451BL02_SL11
ABCE1	6059	9727	30.6753	128.6522	117.5255	0.93	yes	BK00451BL02_SL11
ABCF1	23	2636	1.4965	34.8645	5.7336	0.48	yes	BK00451BL02_SL11
ABCF2	10061	3848	9.8998	50.8948	37.9288	0.77	yes	BK00451BL02_SL11
ABCF3	55324	3558	18.0649	47.0592	69.2117	0.87	yes	BK00451BL02_SL11
ABCG1	9619	3146	3.8439	41.6099	14.7269	0.61	yes	BK00451BL02_SL11
ABCG2	9429	394	1.0659	5.2112	4.0837	0.45	yes	BK00451BL02_SL11
ABCG4	64137	20	0.0672	0.2645	0.2575	0.25	no	BK00451BL02_SL11
ABCG5	64240	99	0.4362	1.3094	1.6711	0.37	no	BK00451BL02_SL11
ABCG8	64241	50	0.2199	0.6613	0.8426	0.32	no	BK00451BL02_SL11
ABHD1	84696	19	0.1681	0.2513	0.644	0.3	no	BK00451BL02_SL11
ABHD10	55347	495	2.3332	6.547	8.9392	0.53	yes	BK00451BL02_SL11
ABHD11	83451	1831	7.3564	24.2174	28.1845	0.72	yes	BK00451BL02_SL11
ABHD12	26090	2858	13.1848	37.8008	50.5145	0.82	yes	BK00451BL02_SL11
ABHD12B	145447	3	0.0099	0.0397	0.0379	0.17	no	BK00451BL02_SL11
ABHD13	84945	608	1.5167	8.0416	5.8109	0.48	yes	BK00451BL02_SL11
ABHD14A	25864	247	2.4563	3.2669	9.4108	0.54	yes	BK00451BL02_SL11
ABHD14A-ACY1	100526760	0	0	0	0	0	no	BK00451BL02_SL11
ABHD14B	84836	671	3.6417	8.8748	13.9524	0.6	yes	BK00451BL02_SL11
ABHD15	116236	284	1.1163	3.7563	4.2768	0.45	yes	BK00451BL02_SL11
ABHD16A	7920	1189	0.9088	15.7261	3.4819	0.43	yes	BK00451BL02_SL11
ABHD16B	140701	23	0.1713	0.3042	0.6562	0.31	no	BK00451BL02_SL11
ABHD17A	81926	971	7.4841	12.8427	28.6737	0.72	yes	BK00451BL02_SL11
ABHD17B	51104	412	1.6715	5.4492	6.4041	0.49	yes	BK00451BL02_SL11
ABHD17C	58489	3856	21.4559	51.0006	82.2033	0.89	yes	BK00451BL02_SL11
ABHD2	11057	13846	19.9251	183.1314	76.3384	0.88	yes	BK00451BL02_SL11
ABHD3	171586	1456	7.6907	19.2575	29.4651	0.73	yes	BK00451BL02_SL11
ABHD4	63874	1545	7.5628	20.4346	28.9751	0.72	yes	BK00451BL02_SL11
ABHD5	51099	1220	3.0144	16.1361	11.549	0.57	yes	BK00451BL02_SL11
ABHD6	57406	373	1.9821	4.9334	7.5939	0.51	yes	BK00451BL02_SL11
ABHD8	79575	459	2.9047	6.0709	11.1288	0.57	yes	BK00451BL02_SL11
ABI1	10006	6662	23.3352	88.1136	89.4034	0.9	yes	BK00451BL02_SL11
ABI2	10152	3877	7.0661	51.2784	27.072	0.71	yes	BK00451BL02_SL11
ABI3	51225	576	3.5767	7.6183	13.7033	0.6	yes	BK00451BL02_SL11
ABI3BP	25890	235	0.4105	3.1082	1.5729	0.37	no	BK00451BL02_SL11
ABL1	25	31776	60.3416	420.2789	231.185	0.97	yes	BK00451BL02_SL11
ABL2	27	6054	6.3303	80.072	24.2531	0.69	yes	BK00451BL02_SL11
ABLIM1	3983	3848	5.2189	50.8948	19.9951	0.66	yes	BK00451BL02_SL11
ABLIM2	84448	964	2.3944	12.7502	9.1736	0.54	yes	BK00451BL02_SL11
ABLIM3	22885	7281	21.0034	96.3007	80.4699	0.89	yes	BK00451BL02_SL11
ABO	28	1874	7.1388	24.7861	27.3509	0.71	yes	BK00451BL02_SL11
ABR	29	16952	34.2257	224.2122	131.1278	0.94	yes	BK00451BL02_SL11
ABRA	137735	3	0.0144	0.0397	0.0552	0.18	no	BK00451BL02_SL11
ABRACL	58527	802	12.5532	10.6075	48.0949	0.82	yes	BK00451BL02_SL11
ABT1	29777	707	2.0651	9.351	7.9122	0.52	yes	BK00451BL02_SL11
ABTB1	80325	1300	8.5036	17.1942	32.5794	0.75	yes	BK00451BL02_SL11
ABTB2	25841	5052	13.6282	66.8193	52.2135	0.83	yes	BK00451BL02_SL11
ACAA1	30	2058	13.6989	27.2197	52.4843	0.83	yes	BK00451BL02_SL11
ACAA2	10449	2029	13.4923	26.8362	51.6926	0.83	yes	BK00451BL02_SL11
ACACA	31	7476	8.6328	98.8798	33.0745	0.75	yes	BK00451BL02_SL11
ACACB	32	2732	3.755	36.1343	14.3864	0.61	yes	BK00451BL02_SL11
ACAD10	80724	2212	6.5612	29.2566	25.1379	0.7	yes	BK00451BL02_SL11
ACAD11	84129	27	0.0957	0.3571	0.3667	0.27	no	BK00451BL02_SL11
ACAD8	27034	509	1.7862	6.7322	6.8434	0.5	yes	BK00451BL02_SL11
ACAD9	28976	2782	13.3753	36.7956	51.2446	0.83	yes	BK00451BL02_SL11
ACADL	33	12	0.0477	0.1587	0.1829	0.23	no	BK00451BL02_SL11
ACADM	34	2720	13.7364	35.9755	52.6278	0.83	yes	BK00451BL02_SL11
ACADS	35	566	3.5922	7.4861	13.7626	0.6	yes	BK00451BL02_SL11
ACADSB	36	430	0.9573	5.6873	3.6677	0.44	yes	BK00451BL02_SL11
ACADVL	37	13255	59.5094	175.3146	227.9967	0.97	yes	BK00451BL02_SL11
ACAN	176	496	0.7421	6.5602	2.8432	0.41	yes	BK00451BL02_SL11
ACAP1	9744	384	2.0219	5.0789	7.7463	0.52	yes	BK00451BL02_SL11
ACAP2	23527	5449	9.9065	72.0701	37.9547	0.77	yes	BK00451BL02_SL11
ACAP3	116983	7989	26.4758	105.6649	101.436	0.91	yes	BK00451BL02_SL11
ACAT1	38	1058	6.5451	13.9934	25.0761	0.7	yes	BK00451BL02_SL11
ACAT2	39	441	3.158	5.8328	12.0991	0.58	yes	BK00451BL02_SL11
ACBD3	64746	6883	25.5362	91.0366	97.8362	0.91	yes	BK00451BL02_SL11
ACBD4	79777	618	2.9573	8.1739	11.3301	0.57	yes	BK00451BL02_SL11
ACBD5	91452	5897	18.3303	77.9955	70.2285	0.87	yes	BK00451BL02_SL11
ACBD6	84320	2044	16.7293	27.0346	64.0945	0.86	yes	BK00451BL02_SL11
ACBD7	414149	56	0.1765	0.7407	0.6761	0.31	no	BK00451BL02_SL11
ACCS	84680	740	3.131	9.7875	11.9957	0.58	yes	BK00451BL02_SL11
ACCSL	390110	0	0	0	0	0	no	BK00451BL02_SL11
ACD	65057	971	6.2162	12.8427	23.8161	0.69	yes	BK00451BL02_SL11
ACE	1636	6029	15.2791	79.7414	58.5382	0.85	yes	BK00451BL02_SL11
ACE2	59272	25	0.0943	0.3307	0.3612	0.27	no	BK00451BL02_SL11
ACER1	125981	1	0.0122	0.0132	0.0466	0.18	no	BK00451BL02_SL11
ACER2	340485	343	1.2837	4.5366	4.9182	0.47	yes	BK00451BL02_SL11
ACER3	55331	1456	2.2518	19.2575	8.6273	0.53	yes	BK00451BL02_SL11
ACHE	43	166	0.7234	2.1956	2.7716	0.41	yes	BK00451BL02_SL11
ACIN1	22985	17126	29.9225	226.5136	114.6414	0.92	yes	BK00451BL02_SL11
ACKR1	2532	6	0.0359	0.0794	0.1376	0.22	no	BK00451BL02_SL11
ACKR2	1238	54	0.209	0.7142	0.8008	0.32	no	BK00451BL02_SL11
ACKR3	57007	335	1.951	4.4308	7.475	0.51	yes	BK00451BL02_SL11
ACKR4	51554	50	0.2548	0.6613	0.9764	0.33	no	BK00451BL02_SL11
ACLY	47	15665	22.6735	207.19	86.8682	0.9	yes	BK00451BL02_SL11
ACMSD	130013	71	0.5726	0.9391	2.1938	0.39	yes	BK00451BL02_SL11
SDHAF3	57001	251	1.6139	3.3198	6.1833	0.49	yes	BK00451BL02_SL11
ACO1	48	2804	10.0861	37.0865	38.6426	0.78	yes	BK00451BL02_SL11
ACO2	50	6629	31.641	87.6771	121.2252	0.93	yes	BK00451BL02_SL11
ACOT1	641371	171	1.3511	2.2617	5.1763	0.47	yes	BK00451BL02_SL11
ACOT11	26027	3359	8.5883	44.4271	32.904	0.75	yes	BK00451BL02_SL11
ACOT12	134526	7	0.042	0.0926	0.1609	0.23	no	BK00451BL02_SL11
ACOT13	55856	284	0.8547	3.7563	3.2745	0.43	yes	BK00451BL02_SL11
ACOT2	10965	583	3.3687	7.7109	12.9064	0.59	yes	BK00451BL02_SL11
ACOT4	122970	276	2.2368	3.6505	8.5698	0.53	yes	BK00451BL02_SL11
ACOT6	641372	0	0	0	0	0	no	BK00451BL02_SL11
ACOT7	11332	2912	11.8544	38.515	45.4175	0.8	yes	BK00451BL02_SL11
ACOT8	10005	940	4.5608	12.4327	17.4736	0.64	yes	BK00451BL02_SL11
ACOT9	23597	1776	7.8457	23.4899	30.0589	0.73	yes	BK00451BL02_SL11
ACOX1	51	1828	3.0527	24.1777	11.6959	0.57	yes	BK00451BL02_SL11
ACOX2	8309	159	0.8626	2.103	3.3048	0.43	yes	BK00451BL02_SL11
ACOX3	8310	993	4.3692	13.1337	16.7395	0.63	yes	BK00451BL02_SL11
ACOXL	55289	13	0.0725	0.1719	0.2776	0.25	no	BK00451BL02_SL11
ACP1	52	1826	12.8259	24.1512	49.1396	0.82	yes	BK00451BL02_SL11
ACP2	53	1616	8.3037	21.3737	31.8137	0.74	yes	BK00451BL02_SL11
ACP5	54	1061	7.1018	14.0331	27.2088	0.71	yes	BK00451BL02_SL11
ACP6	51205	1595	5.5957	21.0959	21.4388	0.67	yes	BK00451BL02_SL11
ACPP	55	168	0.582	2.222	2.2297	0.4	yes	BK00451BL02_SL11
ACP4	93650	1	0.0098	0.0132	0.0376	0.17	no	BK00451BL02_SL11
ACR	49	11	0.1062	0.1455	0.4069	0.27	no	BK00451BL02_SL11
ACRBP	84519	56	0.3681	0.7407	1.4104	0.36	no	BK00451BL02_SL11
GCNA	93953	1778	7.3055	23.5164	27.9893	0.72	yes	BK00451BL02_SL11
ACRV1	56	169	1.8768	2.2352	7.1905	0.51	yes	BK00451BL02_SL11
ACSBG1	23205	2	0.0089	0.0265	0.034	0.17	no	BK00451BL02_SL11
ACSBG2	81616	0	0	0	0	0	no	BK00451BL02_SL11
ACSF2	80221	1040	5.9444	13.7554	22.7746	0.68	yes	BK00451BL02_SL11
ACSF3	197322	2819	8.2234	37.2849	31.5061	0.74	yes	BK00451BL02_SL11
ACSL1	2180	2068	6.13	27.352	23.4856	0.69	yes	BK00451BL02_SL11
ACSL3	2181	6725	20.396	88.9469	78.1426	0.89	yes	BK00451BL02_SL11
ACSL4	2182	6477	16.0575	85.6667	61.5207	0.85	yes	BK00451BL02_SL11
ACSL5	51703	19436	64.0265	257.0664	245.303	0.97	yes	BK00451BL02_SL11
ACSL6	23305	23	0.0378	0.3042	0.1449	0.22	no	BK00451BL02_SL11
ACSM1	116285	21	0.1284	0.2778	0.4917	0.29	no	BK00451BL02_SL11
ACSM2A	123876	16	0.0548	0.2116	0.2099	0.24	no	BK00451BL02_SL11
ACSM2B	348158	25	0.1211	0.3307	0.464	0.28	no	BK00451BL02_SL11
ACSM3	6296	927	4.563	12.2608	17.4821	0.64	yes	BK00451BL02_SL11
ACSM4	341392	0	0	0	0	0	no	BK00451BL02_SL11
ACSM5	54988	86	0.4673	1.1375	1.7904	0.38	no	BK00451BL02_SL11
ACSM6	142827	3	0.0232	0.0397	0.0887	0.2	no	BK00451BL02_SL11
ACSS1	84532	689	2.2669	9.1129	8.6851	0.53	yes	BK00451BL02_SL11
ACSS2	55902	1249	5.0643	16.5196	19.4026	0.66	yes	BK00451BL02_SL11
ACSS3	79611	347	1.1383	4.5895	4.361	0.45	yes	BK00451BL02_SL11
ACTA1	58	355	3.1136	4.6953	11.9291	0.58	yes	BK00451BL02_SL11
ACTA2	59	12998	92.8771	171.9155	355.8374	0.98	yes	BK00451BL02_SL11
ACTA2-AS1	100132116	88	1.2889	1.1639	4.9383	0.47	yes	BK00451BL02_SL11
ACTB	60	266562	1833.4004	3525.6291	7024.2585	1	yes	BK00451BL02_SL11
ACTBL2	345651	52	0.2462	0.6878	0.9431	0.33	no	BK00451BL02_SL11
ACTC1	70	34	0.1218	0.4497	0.4665	0.28	no	BK00451BL02_SL11
ACTG1	71	101954	320.3027	1348.4742	1227.1671	1	yes	BK00451BL02_SL11
ACTG2	72	357	3.5476	4.7218	13.5916	0.6	yes	BK00451BL02_SL11
ACTL10	170487	90	0.587	1.1904	2.2488	0.4	yes	BK00451BL02_SL11
ACTL6A	86	3142	21.8033	41.557	83.5343	0.89	yes	BK00451BL02_SL11
ACTL6B	51412	1	0.0085	0.0132	0.0326	0.17	no	BK00451BL02_SL11
ACTL7A	10881	0	0	0	0	0	no	BK00451BL02_SL11
ACTL7B	10880	4	0.0376	0.0529	0.144	0.22	no	BK00451BL02_SL11
ACTL8	81569	0	0	0	0	0	no	BK00451BL02_SL11
ACTL9	284382	0	0	0	0	0	no	BK00451BL02_SL11
ACTN1	87	44232	133.1419	585.0257	510.1032	0.99	yes	BK00451BL02_SL11
ACTN2	88	39	0.1009	0.5158	0.3864	0.27	no	BK00451BL02_SL11
ACTN3	89	4	0.018	0.0529	0.069	0.19	no	BK00451BL02_SL11
ACTN4	81	102802	317.5362	1359.6901	1216.5681	1	yes	BK00451BL02_SL11
ACTR10	55860	3503	18.9729	46.3317	72.6902	0.88	yes	BK00451BL02_SL11
ACTR1A	10121	3319	14.9262	43.8981	57.1865	0.84	yes	BK00451BL02_SL11
ACTR1B	10120	2768	16.2136	36.6104	62.1189	0.86	yes	BK00451BL02_SL11
ACTR2	10097	18462	60.8786	244.184	233.2425	0.97	yes	BK00451BL02_SL11
ACTR3	10096	25395	57.0936	335.8819	218.7414	0.97	yes	BK00451BL02_SL11
ACTR3B	57180	785	4.6832	10.3826	17.9426	0.64	yes	BK00451BL02_SL11
ACTR3C	653857	2702	20.7294	35.7375	79.42	0.89	yes	BK00451BL02_SL11
ACTR5	79913	662	3.3741	8.7558	12.9271	0.59	yes	BK00451BL02_SL11
ACTR6	64431	1715	8.661	22.6831	33.1826	0.75	yes	BK00451BL02_SL11
ACTR8	93973	1643	5.8463	21.7308	22.3989	0.68	yes	BK00451BL02_SL11
ACTRT1	139741	1	0.0092	0.0132	0.0351	0.17	no	BK00451BL02_SL11
ACTRT2	140625	0	0	0	0	0	no	BK00451BL02_SL11
ACTRT3	84517	90	0.5937	1.1904	2.2746	0.4	yes	BK00451BL02_SL11
ACVR1	90	5768	22.9926	76.2893	88.0908	0.9	yes	BK00451BL02_SL11
ACVR1B	91	1309	3.6017	17.3132	13.799	0.6	yes	BK00451BL02_SL11
ACVR1C	130399	186	0.271	2.4601	1.0384	0.34	no	BK00451BL02_SL11
ACVR2A	92	1814	4.2578	23.9925	16.3127	0.63	yes	BK00451BL02_SL11
ACVR2B	93	1105	1.272	14.6151	4.8733	0.47	yes	BK00451BL02_SL11
ACVRL1	94	546	1.5959	7.2216	6.1144	0.49	yes	BK00451BL02_SL11
ACY1	95	14	0.1104	0.1852	0.4228	0.28	no	BK00451BL02_SL11
ACY3	91703	213	2.1671	2.8172	8.3027	0.53	yes	BK00451BL02_SL11
ACYP1	97	893	12.316	11.8111	47.1861	0.81	yes	BK00451BL02_SL11
ACYP2	98	212	2.2908	2.804	8.7768	0.53	yes	BK00451BL02_SL11
ADA	100	389	3.1937	5.145	12.2359	0.58	yes	BK00451BL02_SL11
ADAD1	132612	2	0.0105	0.0265	0.0402	0.17	no	BK00451BL02_SL11
ADAD2	161931	0	0	0	0	0	no	BK00451BL02_SL11
ADAL	161823	457	1.5233	6.0444	5.8361	0.48	yes	BK00451BL02_SL11
ADAM10	102	15532	40.8087	205.4309	156.3492	0.95	yes	BK00451BL02_SL11
ADAM11	4185	32	0.081	0.4232	0.3102	0.26	no	BK00451BL02_SL11
ADAM12	8038	530	0.785	7.0099	3.0075	0.42	yes	BK00451BL02_SL11
ADAM15	8751	13974	53.9791	184.8243	206.8086	0.96	yes	BK00451BL02_SL11
ADAM17	6868	5052	18.7064	66.8193	71.6693	0.87	yes	BK00451BL02_SL11
ADAM18	8749	0	0	0	0	0	no	BK00451BL02_SL11
ADAM19	8728	4524	8.0685	59.8358	30.9125	0.74	yes	BK00451BL02_SL11
ADAM1A	8759	810	3.7723	10.7133	14.4527	0.61	yes	BK00451BL02_SL11
ADAM2	2515	9	0.0445	0.119	0.1707	0.23	no	BK00451BL02_SL11
ADAM20	8748	578	2.3786	7.6448	9.113	0.54	yes	BK00451BL02_SL11
ADAM20P1	317760	74	0.3221	0.9787	1.2339	0.35	no	BK00451BL02_SL11
ADAM21	8747	19	0.0943	0.2513	0.3614	0.27	no	BK00451BL02_SL11
ADAM21P1	145241	7	0.0452	0.0926	0.1731	0.23	no	BK00451BL02_SL11
ADAM22	53616	231	0.3133	3.0553	1.2005	0.35	no	BK00451BL02_SL11
ADAM23	8745	501	1.0476	6.6264	4.0138	0.45	yes	BK00451BL02_SL11
ADAM28	10863	3272	11.3438	43.2765	43.4611	0.8	yes	BK00451BL02_SL11
ADAM29	11086	0	0	0	0	0	no	BK00451BL02_SL11
ADAM30	11085	4	0.0177	0.0529	0.0677	0.19	no	BK00451BL02_SL11
ADAM32	203102	1980	9.6033	26.1881	36.7927	0.77	yes	BK00451BL02_SL11
ADAM33	80332	50	0.1543	0.6613	0.591	0.3	no	BK00451BL02_SL11
ADAM3A	1587	0	0	0	0	0	no	BK00451BL02_SL11
ADAM6	8755	0	0	0	0	0	no	BK00451BL02_SL11
ADAM7	8756	0	0	0	0	0	no	BK00451BL02_SL11
ADAM8	101	10835	38.8471	143.307	148.8339	0.95	yes	BK00451BL02_SL11
ADAM9	8754	47720	153.9788	631.159	589.9348	0.99	yes	BK00451BL02_SL11
ADAMDEC1	27299	36	0.1953	0.4761	0.7483	0.31	no	BK00451BL02_SL11
ADAMTS1	9510	1118	3.1793	14.787	12.1808	0.58	yes	BK00451BL02_SL11
ADAMTS10	81794	1373	1.8545	18.1597	7.1053	0.51	yes	BK00451BL02_SL11
ADAMTS12	81792	2245	3.3757	29.693	12.9334	0.59	yes	BK00451BL02_SL11
ADAMTS13	11093	998	1.2555	13.1998	4.81	0.46	yes	BK00451BL02_SL11
ADAMTS14	140766	7795	19.5671	103.099	74.9669	0.88	yes	BK00451BL02_SL11
ADAMTS15	170689	178	0.3959	2.3543	1.5167	0.37	no	BK00451BL02_SL11
ADAMTS16	170690	273	0.7259	3.6108	2.7812	0.41	yes	BK00451BL02_SL11
ADAMTS17	170691	44	0.0887	0.582	0.3397	0.26	no	BK00451BL02_SL11
ADAMTS18	170692	6	0.0134	0.0794	0.0514	0.18	no	BK00451BL02_SL11
ADAMTS19	171019	0	0	0	0	0	no	BK00451BL02_SL11
ADAMTS2	9509	3140	5.8742	41.5306	22.5057	0.68	yes	BK00451BL02_SL11
ADAMTS20	80070	3	0.0069	0.0397	0.0265	0.16	no	BK00451BL02_SL11
ADAMTS3	9508	50	0.1136	0.6613	0.4352	0.28	no	BK00451BL02_SL11
ADAMTS4	9507	248	0.7572	3.2801	2.901	0.42	yes	BK00451BL02_SL11
ADAMTS5	11096	287	0.3928	3.7959	1.5051	0.36	no	BK00451BL02_SL11
ADAMTS6	11174	991	1.8034	13.1073	6.9094	0.5	yes	BK00451BL02_SL11
ADAMTS7	11173	644	1.4962	8.5177	5.7323	0.48	yes	BK00451BL02_SL11
ADAMTS7P1	390660	16	0.0421	0.2116	0.1611	0.23	no	BK00451BL02_SL11
ADAMTS8	11095	9	0.0312	0.119	0.1194	0.22	no	BK00451BL02_SL11
ADAMTS9	56999	2230	3.778	29.4946	14.4745	0.61	yes	BK00451BL02_SL11
ADAMTSL1	92949	92	0.1521	1.2168	0.5827	0.3	no	BK00451BL02_SL11
ADAMTSL2	9719	1194	3.6472	15.7922	13.9733	0.6	yes	BK00451BL02_SL11
ADAMTSL3	57188	152	0.2734	2.0104	1.0475	0.34	no	BK00451BL02_SL11
ADAMTSL4	54507	1542	4.3983	20.395	16.8511	0.63	yes	BK00451BL02_SL11
ADAMTSL5	339366	477	2.1314	6.3089	8.166	0.52	yes	BK00451BL02_SL11
ADAP1	11033	9932	44.926	131.3636	172.1238	0.96	yes	BK00451BL02_SL11
ADAP2	55803	982	4.3998	12.9882	16.8569	0.63	yes	BK00451BL02_SL11
ADAR	103	36689	68.4139	485.2597	262.1123	0.97	yes	BK00451BL02_SL11
ADARB1	104	1250	2.3139	16.5329	8.8652	0.53	yes	BK00451BL02_SL11
ADARB2	105	36	0.0565	0.4761	0.2165	0.24	no	BK00451BL02_SL11
ADARB2-AS1	642394	0	0	0	0	0	no	BK00451BL02_SL11
ADAT1	23536	1419	4.0889	18.7681	15.6658	0.62	yes	BK00451BL02_SL11
ADAT2	134637	370	0.6495	4.8937	2.4883	0.4	yes	BK00451BL02_SL11
ADAT3	113179	378	1.7939	4.9995	6.8728	0.5	yes	BK00451BL02_SL11
ADCK1	57143	339	1.8651	4.4837	7.1457	0.51	yes	BK00451BL02_SL11
ADCK2	90956	1788	8.5652	23.6486	32.8158	0.75	yes	BK00451BL02_SL11
COQ8A	56997	1148	2.2662	15.1838	8.6826	0.53	yes	BK00451BL02_SL11
COQ8B	79934	1867	8.2257	24.6935	31.5148	0.74	yes	BK00451BL02_SL11
ADCK5	203054	890	2.7796	11.7714	10.6492	0.56	yes	BK00451BL02_SL11
